date,actual_price,forecast_price_ag,forecast_price_naive,actual_log_return,forecast_log_return_ag,forecast_log_return_naive,forecast_volatility_ag,forecast_variance_ag,forecast_variance_ewma,actual_variance_proxy,var_thresh_ag,es_ag,violation_ag,var_thresh_ewma,es_ewma,violation_ewma
2024-01-07,89.27634430,95.10056299,93.85771942,-0.05004346,0.01315488,0.00000000,0.05988630,0.00358637,0.00367179,0.00250435,-0.08530036,-0.11071343,0,-0.09967037,-0.12499066,0
2024-01-08,97.79044342,90.30412655,89.27634430,0.09109031,0.01144661,0.00000000,0.06203130,0.00384788,0.00360174,0.00829744,-0.09052230,-0.11694243,0,-0.09871509,-0.12379270,0
2024-01-09,99.40918732,98.69981096,97.79044342,0.01641768,0.00925617,0.00000000,0.07675733,0.00589169,0.00388348,0.00026954,-0.11696190,-0.14933024,0,-0.10250334,-0.12854332,0
2024-01-10,102.03302002,100.37766417,99.40918732,0.02605195,0.00969518,0.00000000,0.04953803,0.00245402,0.00366665,0.00067870,-0.07176799,-0.09262696,0,-0.09960057,-0.12490313,0
2024-01-11,99.90943909,103.07099441,102.03302002,-0.02103232,0.01012153,0.00000000,0.05022559,0.00252261,0.00348737,0.00044236,-0.07247986,-0.09356789,0,-0.09713513,-0.12181137,0
2024-01-12,91.72090912,101.02446714,99.90943909,-0.08551380,0.01109857,0.00000000,0.05085609,0.00258634,0.00330467,0.00731261,-0.07253975,-0.09389250,1,-0.09455648,-0.11857764,0
2024-01-13,95.73004913,92.46785874,91.72090912,0.04278187,0.00811074,0.00000000,0.07471481,0.00558230,0.00354515,0.00183029,-0.11476582,-0.14613604,0,-0.09793645,-0.12281625,0
2024-01-14,94.13314056,96.34693144,95.73004913,-0.01682207,0.00642330,0.00000000,0.05374044,0.00288803,0.00344225,0.00028298,-0.08195864,-0.10452243,0,-0.09650477,-0.12102087,0
2024-01-15,94.49022675,94.91252311,94.13314056,0.00378624,0.00824549,0.00000000,0.05240459,0.00274624,0.00325270,0.00001434,-0.07793942,-0.09994294,0,-0.09381001,-0.11764153,0
2024-01-16,97.62691498,95.26357831,94.49022675,0.03265682,0.00815115,0.00000000,0.04802141,0.00230606,0.00305840,0.00106647,-0.07081200,-0.09107981,0,-0.09096497,-0.11407374,0
